syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl0,syl1,syl2,syl3,syl4,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,nomen,sylcnt,stress_class
1,3,3,3,3,a,ban,don,nie,ren,en,ø,V,N,SA,ø,K,KC,KCN,KCNC,KCNCK,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,CVV,CVC,1,0,2,0,2,1,0,1,0,1,0,1,1,1,1,1,2,1,2,1,1,1,101,101,1001,1011,4,3,2,3,3,1,K,CN,CK,CL,CKC,,C,C,C,C,,,,,C,K,N,K,L,K,1,1,1,1,0,F,5,paenultima
2,3,2,1,3,Ab,bre,vi,a,tur,ur,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,CLC,KCLC,LKCLC,ø,VC,CCVV,CVV,VC,CVVC,1,1,0,1,1,1,0,0,1,1,0,2,1,0,1,1,2,2,1,2,1,1,111,101,1,111,4,2,3,4,3,1,K,CCL,CL,K,CLC,,CC,C,,C,,,,,C,K,L,L,K,L,1,1,1,1,1,T,5,ultima
2,3,2,2,3,ab,bre,vi,ie,ren,en,ø,V,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,LLCKC,ø,VC,CCVV,CVV,VV,CVC,1,1,0,0,2,1,0,0,0,1,0,2,1,0,1,1,2,2,2,1,1,1,111,101,1,1011,4,2,3,5,3,1,K,CCL,CL,L,CKC,,CC,C,,C,,,,,C,K,L,L,L,K,1,1,1,1,0,F,5,paenultima
2,2,2,2,2,Ab,di,ka,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVC,CVV,VVC,1,0,2,0,0,1,0,1,0,1,0,1,1,1,0,1,2,1,2,2,1,101,101,101,101,1001,2,3,2,3,3,1,KC,CL,CK,AL,LC,,C,C,A,,C,,,,C,K,L,K,L,L,1,1,1,1,1,T,5,ultima
1,4,3,2,4,A,bend,d1m,me,rung,ung,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,KCKC,CKCKC,ø,VV,CVCC,CVC,CV,CVC,0,3,2,1,2,0,2,1,0,1,0,1,1,1,1,2,1,1,1,1,2,1,1201,101,1001,1011,6,2,2,3,3,1,L,CKCC,CK,CK,CKC,,C,C,C,C,,CC,,,C,L,K,K,K,K,1,0,1,0,1,T,5,prima
1,3,3,1,3,A,ben,te2,e,rin,in,ø,N,N,SA,ø,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,KCKC,DKCKC,ø,VV,CVC,CVV,V,CVC,0,2,0,0,2,0,1,0,0,1,0,1,1,0,1,2,1,2,1,1,1,1,1101,101,1,1011,6,2,3,4,3,1,L,CKC,CD,K,CKC,,C,C,,C,,C,,,C,L,K,D,K,K,1,0,1,0,1,T,5,prima
1,3,3,2,4,a,ben,te2,er,lich,ich,ø,A,N,SA,ø,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,CCKC,KCCKC,noacc,VV,CVC,CVV,VC,CVC,0,2,0,1,2,0,1,0,1,1,0,1,1,0,1,2,1,2,1,1,1,1,1101,101,11,111,6,2,3,3,3,-1,L,CKC,CD,KC,CKC,,C,C,,C,,C,,C,C,L,K,D,K,K,1,0,1,0,1,F,5,prima
1,3,3,2,4,A,ben,te2,er,lust,ust,ø,N,VN,ø,ø,L,LC,LCK,LCKC,LCKCC,C,CC,KCC,CKCC,CCKCC,ø,VV,CVC,CVV,VC,CVCC,0,2,0,1,3,0,1,0,1,2,0,1,1,0,1,2,1,2,1,1,2,1,1101,101,11,211,6,2,3,3,2,-1,L,CKC,CD,KC,CKCC,,C,C,,C,,C,,C,CC,L,K,D,K,K,1,0,1,0,2,T,5,prima
1,3,3,2,3,A,ben,teu,re,rin,in,ø,N,N,SA,ø,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,KCKC,CKCKC,ø,VV,CVC,CVV,CV,CVC,0,2,0,1,2,0,1,0,0,1,0,1,1,1,1,2,1,2,1,1,1,1,1101,101,11,1011,6,2,3,3,3,1,L,CKC,CD,CK,CKC,,C,C,C,C,,C,,,C,L,K,D,K,K,1,0,1,0,1,T,5,prima
2,2,2,2,2,Ab,er,ra,ti,on,on,ø,N,ø,ø,ø,K,KC,KCK,KCKC,KCKCK,C,LC,LLC,ALLC,KALLC,ø,VC,VC,CVC,CVV,VVC,1,1,2,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,2,2,0,101,1,11,101,1001,2,4,3,3,3,1,KC,K,CK,AL,LC,,,C,A,,C,,,,C,K,K,K,L,L,1,1,1,1,1,T,5,ultima
2,3,5,3,2,Ab,fin,dungs,sum,me,e,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,K,CK,KCK,CKCK,CCKCK,ø,VC,CVC,CVCC,CVC,CV,1,2,3,2,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,2,101,1101,1201,101,1001,2,2,2,3,3,1,KC,CKC,CKCC,CK,CK,,C,C,C,C,C,C,CC,,,K,K,K,K,K,1,1,2,1,0,T,5,prima
2,2,3,6,3,ab,ga,ben,pflich,tig,ig,ab,A,NN,ø,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,noacc,VC,CVV,CVC,CCVC,CVC,1,0,2,3,2,1,0,1,1,1,0,1,1,2,1,1,2,1,1,1,2,101,101,1101,211,201,2,3,2,2,2,1,KC,CL,CKC,ACKC,CKC,,C,C,AC,C,C,,C,C,C,K,L,K,K,K,1,1,0,1,1,F,5,prima
2,2,3,2,2,Ab,ge,ord,ne,te,e,ø,N,F,S,ø,K,KC,KCC,KCCK,KCCKK,K,CK,KCK,CKCK,CCKCK,ø,VC,CV,VC,CCV,CV,1,1,1,2,1,1,0,1,0,0,0,1,0,2,1,1,1,1,1,1,1,101,101,11,1101,101,2,2,3,2,2,1,KC,CK,KC,CCK,CK,,C,,CC,C,C,,C,,,K,K,K,K,K,1,0,1,0,0,T,5,prima
2,2,5,3,4,Ab,ge,schie,den,heit,eit,ø,N,A,SA,ø,K,KC,KCC,KCCK,KCCKC,C,DC,CDC,CCDC,KCCDC,ø,VC,CV,CVV,CVC,CVVC,1,1,0,2,1,1,0,0,1,1,0,1,1,1,1,1,1,2,1,2,1,101,101,101,1101,201,2,2,3,2,2,1,KC,CK,CL,CKC,CDC,,C,C,C,C,C,,,C,C,K,K,L,K,D,1,0,1,0,1,T,5,prima
2,2,2,3,4,Ab,ge,wo,gen,heit,eit,ø,N,A,SA,ø,K,KC,KCC,KCCK,KCCKC,C,DC,CDC,CCDC,KCCDC,ø,VC,CV,CVV,CVC,CVVC,1,1,0,2,1,1,0,0,1,1,0,1,1,1,1,1,1,2,1,2,1,101,101,101,1101,201,2,2,2,2,2,1,KC,CK,CL,CKC,CDC,,C,C,C,C,C,,,C,C,K,K,L,K,D,1,0,1,0,1,T,5,prima
2,1,2,2,3,Ab,i,tu,ri,ent,ent,ø,N,N,SA,ø,K,KC,KCL,KCLC,KCLCL,C,CC,KCC,LKCC,CLKCC,ø,VC,CVV,CVV,CVV,VCC,1,0,0,0,2,1,0,0,0,2,0,1,1,1,0,1,2,2,2,1,1,1,101,101,11,1101,4,3,3,4,2,1,K,CL,CL,CL,KCC,,C,C,C,,,,,,CC,K,L,L,L,K,1,1,1,1,2,T,5,ultima
2,2,2,3,3,ab,ju,di,zie,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,ALCKC,ø,VC,CVV,CVV,CVV,CVC,1,0,0,0,2,1,0,0,0,1,0,1,1,1,1,1,2,2,2,1,1,101,2,101,101,1011,2,4,3,3,3,1,KC,CL,CL,AL,CKC,,C,C,A,C,C,,,,C,K,L,L,L,K,1,1,1,1,0,F,5,paenultima
2,3,3,3,3,ab,kom,man,die,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVC,CVV,CVC,1,2,2,0,2,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,101,101,2001,101,1011,2,2,2,3,3,1,KC,CK,CKC,CL,CKC,,C,C,C,C,C,,C,,C,K,K,K,L,K,1,1,1,1,0,F,5,prima
2,3,3,3,2,ab,kon,ter,fei,en,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,DKC,CDKC,CCDKC,ø,VC,CVC,CVC,CVV,VC,1,2,2,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,2,1,1,101,1101,111,101,1001,2,2,2,3,3,1,KC,CKC,CKC,CD,KC,,C,C,C,,C,C,C,,C,K,K,K,D,K,1,1,0,1,0,F,5,prima
2,3,5,4,3,Ab,k2r,zungs,spra,che,e,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,K,CK,LCK,CLCK,CCLCK,ø,VC,CVC,CVCC,CCCVV,CV,1,2,3,1,1,1,1,2,0,0,0,1,1,3,1,1,1,1,2,1,2,101,111,1201,211,101,2,3,2,2,2,1,KC,CKC,AKCC,CCCL,CK,,C,A,CCC,C,C,C,CC,,,K,K,K,L,K,1,1,2,1,0,T,5,prima
2,3,5,3,4,Ab,k2r,zungs,zei,chen,en,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,DCKC,ADCKC,ø,VC,CVC,CVCC,CVV,CVC,1,2,3,0,2,1,1,2,0,1,0,1,1,1,1,1,1,1,2,1,2,101,111,1201,101,1101,2,3,2,3,2,1,KC,CKC,AKCC,AD,CKC,,C,A,A,C,C,C,CC,,C,K,K,K,D,K,1,1,2,1,0,T,5,prima
2,3,5,3,2,Ab,lei,tungs,sil,be,e,ab,N,NN,SAS,acc,K,KC,KCC,KCCD,KCCDC,K,CK,CCK,KCCK,CKCCK,ø,VC,CVV,CVCC,CVC,CV,1,0,3,2,1,1,0,2,1,0,0,1,1,1,1,1,2,1,1,1,2,101,11,1201,111,101,2,4,2,3,2,1,KC,CD,CKCC,CKC,CK,,C,C,C,C,C,,CC,C,,K,D,K,K,K,1,1,2,1,0,T,5,prima
